HR_Lemfo;HR_Polar_H10
61;63
61;63
61;63
60;63
61;63
61;63
61;63
61;63
62;63
62;63
63;63
63;62
63;62
63;62
63;62
62;62
62;61
62;61
61;61
60;61
60;61
60;61
61;61
62;61
63;61
64;62
63;62
62;62
60;62
59;62
59;62
59;62
59;62
60;62
61;62
61;62
61;62
61;62
61;62
61;62
60;62
59;62
59;62
58;62
58;62
58;62
58;63
59;63
59;63
60;63
60;63
60;63
61;62
61;61
60;61
60;61
60;61
60;61
60;62
59;62
60;62
61;62
60;62
60;61
59;61
59;61
58;61
58;61
59;61
59;61
61;61
62;61
61;61
60;61
60;61
59;61
58;61
58;61
58;61
58;61
59;61
59;62
59;62
59;62
58;62
56;62
55;62
57;61
57;61
57;61
57;62
57;62
57;63
57;63
56;64
56;64
55;63
55;62